SMILES,Smiles_Solvent,Smiles_Merged,Predicted_LogS,Prediction_Status,Prediction_Error
CN1/C(=C\C=C\C=C\C2=[N+](C)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21,O,C[N+]1=C2/C=C/C=C/C=C3/C(C)(C)c4c(ccc5ccccc45)N3(C)~O~c13ccc1ccccc1c3C2(C)C,-7.027875900268555,ok,
CCc1ccc(-c2cc(-c3ccccc3)c3c([o+]2)/C(=C/c2ccc(N(C)C)cc2)CCC3)cc1,O,CCc1ccc(-c23~O~N(C)(C)c4ccc(cc4)/C=C4\CCCc(c(-c5ccccc5)c2)c4[o+]3)cc1,-10.112866401672363,ok,
CCN1C(=CC=C2CCc3c(-c4ccccc4)cc(-c4ccccc4)[o+]c32)Sc2ccccc21,O,CCN12~O~c3(-c4ccccc4)cc(-c4ccccc4)c4c([o+]3)C(=CC=C1Sc1ccccc12)CC4,-9.402202606201172,ok,
C(=CC=CC=Cc1ccco1)C=CC=CC=NN/C(=N\c1ccccc1)c1ccccn1,O,C1=CC=CC=Cc2ccco2~O~C(=Nc2ccccc2)(c2ccccn2)NN=CC=CC=C1,-5.533873558044434,ok,
CN1C(=CC=CC=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,O,C[N+]1=C2C=CC=CC=CC=C3C(C)(C)c4ccccc4N3(C)~O~c13ccccc3C2(C)C,-6.189366340637207,ok,
CN(C)/C=C/C=C/C=C1\c2ccccc2-c2ccc([N+](=O)[O-])cc21,O,CN1(C)~O~c2([N+](=O)[O-])ccc3c(c2)/C(=C/C=C/C=C/1)c1ccccc1-3,-6.494311332702637,ok,
O=[N+]([O-])C1=CC2=C(C=C1)C(C=CC=C3)=C3/C2=C\C=C\C=C\N(C)C,O,CN1(C)~O~c2([N+](=O)[O-])ccc3c(c2)/C(=C/C=C/C=C/1)c1ccccc1-3,-6.494311332702637,ok,
CCN1C(=O)/C(=C\C=C\C=C2\N(C)c3ccccc3C2(C)C)OC1=S,O,CCN1C(=S)O2~O~C1(=O)/C2=C\C=C\C=C1\N(C)c2ccccc2C1(C)C,-5.897018909454346,ok,
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)ON1C(=O)CCC1=O,O,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC1(=O)~O~O1N1C(=O)CCC1=O,-5.033585548400879,ok,
CCCCN1/C(=C\C=C\C=C\C2=[N+](CCCC)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21,O,CCCC[N+]1=C2/C=C/C=C/C=C3/C(C)(C)c4c(ccc5ccccc45)N3(CCCC)~O~c13ccc1ccccc1c3C2(C)C,-7.396979331970215,ok,
