SMILES,Smiles_Solvent,Smiles_Merged,Predicted_LogS,Prediction_Status,Prediction_Error
CCc1ccc(-c2cc(-c3ccccc3)c3c([o+]2)/C(=C/c2ccc(N(C)C)cc2)CCC3)cc1,CS(C)=O,CCc1ccc(-c23~O=S(C)(C)~N(C)(C)c4ccc(cc4)/C=C4\CCCc(c(-c5ccccc5)c2)c4[o+]3)cc1,-7.238110542297363,ok,
CCN1C(=CC=C2CCc3c(-c4ccccc4)cc(-c4ccccc4)[o+]c32)Sc2ccccc21,CS(C)=O,CCN12~S(C)(C)=O~c3(-c4ccccc4)cc(-c4ccccc4)c4c([o+]3)C(=CC=C1Sc1ccccc12)CC4,-7.056604385375977,ok,
C(=CC=CC=Cc1ccco1)C=CC=CC=NN/C(=N\c1ccccc1)c1ccccn1,CS(C)=O,CS1(C)~o2cccc2C=CC=CC=CC=CC=CC=NNC(=Nc2ccccc2)(c2ccccn2)~O=1,-2.692587375640869,ok,
CN1C(=CC=CC=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CS(C)=O,C[N+]1=C2C=CC=CC=CC=C3C(C)(C)c4ccccc4N3(C)~S(C)(C)=O~c13ccccc3C2(C)C,-2.7718045711517334,ok,
CN(C)/C=C/C=C/C=C1\c2ccccc2-c2ccc([N+](=O)[O-])cc21,CS(C)=O,CN1(C)~S(C)(C)=O~c2([N+](=O)[O-])ccc3c(c2)/C(=C/C=C/C=C/1)c1ccccc1-3,-3.1497418880462646,ok,
O=[N+]([O-])C1=CC2=C(C=C1)C(C=CC=C3)=C3/C2=C\C=C\C=C\N(C)C,CS(C)=O,CN1(C)~S(C)(C)=O~c2([N+](=O)[O-])ccc3c(c2)/C(=C/C=C/C=C/1)c1ccccc1-3,-3.1497418880462646,ok,
CCN1C(=O)/C(=C\C=C\C=C2\N(C)c3ccccc3C2(C)C)OC1=S,CS(C)=O,CCN1C(=S)O2~S(C)(C)=O~C1(=O)/C2=C\C=C\C=C1\N(C)c2ccccc2C1(C)C,-2.5252580642700195,ok,
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)ON1C(=O)CCC1=O,CS(C)=O,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC1(=O)~O=S(C)(C)~O1N1C(=O)CCC1=O,-1.8405944108963013,ok,
CCCCN1/C(=C\C=C\C=C\C2=[N+](CCCC)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2c1ccc1ccccc21,CS(C)=O,CCCC[N+]1=C2/C=C/C=C/C=C3/C(C)(C)c4c(ccc5ccccc45)N3(CCCC)~S(C)(C)=O~c13ccc1ccccc1c3C2(C)C,-3.9564390182495117,ok,
CN(C)c1ccc(C=C2CCCC(=Cc3ccc([N+](=O)[O-])cc3)C2=O)cc1,CS(C)=O,CN1(C)~S(C)(C)=O~c2([N+](=O)[O-])ccc(cc2)C=C2CCCC(=Cc3ccc1cc3)C2=O,-2.2145273685455322,ok,
CCN1C(=CC=C2CCC(=CC=C3Sc4ccc5ccccc5c4N3CC)C2=O)Sc2ccc3ccccc3c21,CS(C)=O,CCN1C(=CC=C2CCC3=CC=C4Sc5ccc6ccccc6c5N4(CC)~S(C)(C)=O~C23=O)Sc2ccc3ccccc3c21,-3.328315258026123,ok,
CN(C)/C=C/C=C/C=C1\CCC/C(=C\C=C\C=C\N(C)C)C1=O,CS(C)=O,CN(C)/C=C/C=C/C=C1\CCC/C2=C\C=C\C=C\N(C)(C)~S(C)(C)=O~C12=O,-2.9746150970458984,ok,
[2H]C([2H])([2H])C(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CCOC(C)=O,CS(C)=O,[2H]C([2H])([2H])C(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CCO1~S(C)(C)=O~C1(C)=O,-2.7036337852478027,ok,
CCCCN(CCCC)c1ccc(C2=C([O-])C(=C3C=CC(=[N+](CCCC)CCCC)C=C3O)C2=O)c(O)c1,CS(C)=O,CCCCN(CCCC)c1ccc(C2=C3[O-]~S(C)(C)=O~C4(=[N+](CCCC)CCCC)C=CC(=C3C2=O)C(O)=C4)c(O)c1,-2.62211012840271,ok,
CN1C(=O)/C(=C(O)\C=C\C=C\C=C\C=C\C=C\C(=O)O)C(=O)[C@@H]1CO,CS(C)=O,CN1C(=O)/C(=C2\C=C\C=C\C=C\C=C\C=C\C(=O)(O)~O=S(C)(C)~O2)C(=O)[C@@H]1CO,-4.008377552032471,ok,
CCN1C(=CC=C2CCC(C=Cc3sc4ccccc4[n+]3CC)=C2C)Sc2ccccc21,CS(C)=O,CC[n+]1c2ccccc2sc12~O=S(C)(C)~N1(CC)C(=CC=C3CCC(=C3C)C=C2)Sc2ccccc21,,failed,Featurization failed: RDKit could not parse Smiles_Merged
CCc1ccc(-c2cc(-c3ccccc3)c3c([o+]2)C(=Cc2ccc(N(C)C)cc2)CCC3)cc1,CS(C)=O,CCc1ccc(-c23~O=S(C)(C)~N(C)(C)c4ccc(cc4)C=C4CCCc(c(-c5ccccc5)c2)c4[o+]3)cc1,-7.16680383682251,ok,
